niveau;matiere;champ;bloc;categorie;type_document;competence;contenu_referentiel;attendu_referentiel;objectif;prerequis;activites;evaluation;mots_cles;source_page;sortie
P1;MST;CHAMP 1 : DES OBJETS DE L’ESPACE À LA GÉOMÉTRIE;1.1. (Se) repérer et communiquer des positionnements ou des déplacements;bloc;fiche_referentiel;(Se) repérer et communiquer des positionnements ou des déplacements;CHAMP 1 : DES OBJETS DE L’ESPACE À LA GÉOMÉTRIE / 1.1. (Se) repérer et communiquer des positionnements ou des déplacements;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 1.1;25;primaire/MST/P1/champ_1_espace_geometrie/1_1_se_reperer_et_communiquer_des_positionnements_ou_des_deplacements/fiche_bloc_1_1_se_reperer_et_communiquer_des_positionnements_ou_des_deplacements_P1_GTOLI.md
P1;MST;CHAMP 1 : DES OBJETS DE L’ESPACE À LA GÉOMÉTRIE;1.2. Appréhender et représenter des objets de l’espace;bloc;fiche_referentiel;Appréhender et représenter des objets de l’espace;CHAMP 1 : DES OBJETS DE L’ESPACE À LA GÉOMÉTRIE / 1.2. Appréhender et représenter des objets de l’espace;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 1.2;27;primaire/MST/P1/champ_1_espace_geometrie/1_2_apprehender_et_representer_des_objets_de_lespace/fiche_bloc_1_2_apprehender_et_representer_des_objets_de_lespace_P1_GTOLI.md
P1;MST;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES;2.1. Concevoir des grandeurs;bloc;fiche_referentiel;Concevoir des grandeurs;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES / 2.1. Concevoir des grandeurs;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 2.1;28;primaire/MST/P1/champ_2_grandeurs_relations/2_1_concevoir_des_grandeurs/fiche_bloc_2_1_concevoir_des_grandeurs_P1_GTOLI.md
P1;MST;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES;2.2. Agir sur des grandeurs;bloc;fiche_referentiel;Agir sur des grandeurs;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES / 2.2. Agir sur des grandeurs;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 2.2;29;primaire/MST/P1/champ_2_grandeurs_relations/2_2_agir_sur_des_grandeurs/fiche_bloc_2_2_agir_sur_des_grandeurs_P1_GTOLI.md
P1;MST;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES;2.3. Opérer sur des grandeurs – périmètres, aires et volumes;bloc;fiche_referentiel;Opérer sur des grandeurs – périmètres, aires et volumes;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES / 2.3. Opérer sur des grandeurs – périmètres, aires et volumes;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 2.3;29;primaire/MST/P1/champ_2_grandeurs_relations/2_3_operer_sur_des_grandeurs_perimetres_aires_et_volumes/fiche_bloc_2_3_operer_sur_des_grandeurs_perimetres_aires_et_volumes_P1_GTOLI.md
P1;MST;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES;2.4. Agir puis opérer sur des grandeurs – fractions;bloc;fiche_referentiel;Agir puis opérer sur des grandeurs – fractions;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES / 2.4. Agir puis opérer sur des grandeurs – fractions;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 2.4;30;primaire/MST/P1/champ_2_grandeurs_relations/2_4_agir_puis_operer_sur_des_grandeurs_fractions/fiche_bloc_2_4_agir_puis_operer_sur_des_grandeurs_fractions_P1_GTOLI.md
P1;MST;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES;2.5. Mettre en relation des grandeurs;bloc;fiche_referentiel;Mettre en relation des grandeurs;CHAMP 2 : DES GRANDEURS À LA RELATION ENTRE VARIABLES / 2.5. Mettre en relation des grandeurs;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 2.5;30;primaire/MST/P1/champ_2_grandeurs_relations/2_5_mettre_en_relation_des_grandeurs/fiche_bloc_2_5_mettre_en_relation_des_grandeurs_P1_GTOLI.md
P1;MST;CHAMP 3 : DE L’ARITHMÉTIQUE À L’ALGÈBRE;3.1. Appréhender le nombre puis la lettre dans tous leurs aspects;bloc;fiche_referentiel;Appréhender le nombre puis la lettre dans tous leurs aspects;CHAMP 3 : DE L’ARITHMÉTIQUE À L’ALGÈBRE / 3.1. Appréhender le nombre puis la lettre dans tous leurs aspects;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 3.1;31;primaire/MST/P1/champ_3_arithmetique_algebre/3_1_apprehender_le_nombre_puis_la_lettre_dans_tous_leurs_aspects/fiche_bloc_3_1_apprehender_le_nombre_puis_la_lettre_dans_tous_leurs_aspects_P1_GTOLI.md
P1;MST;CHAMP 3 : DE L’ARITHMÉTIQUE À L’ALGÈBRE;3.2. Opérer sur des nombres et sur des expressions algébriques;bloc;fiche_referentiel;Opérer sur des nombres et sur des expressions algébriques;CHAMP 3 : DE L’ARITHMÉTIQUE À L’ALGÈBRE / 3.2. Opérer sur des nombres et sur des expressions algébriques;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 3.2;33;primaire/MST/P1/champ_3_arithmetique_algebre/3_2_operer_sur_des_nombres_et_sur_des_expressions_algebriques/fiche_bloc_3_2_operer_sur_des_nombres_et_sur_des_expressions_algebriques_P1_GTOLI.md
P1;MST;CHAMP 4 : DE L’ORGANISATION DES DONNÉES À LA STATISTIQUE;4.1. Collecter, organiser, représenter et interpréter des données;bloc;fiche_referentiel;Collecter, organiser, représenter et interpréter des données;CHAMP 4 : DE L’ORGANISATION DES DONNÉES À LA STATISTIQUE / 4.1. Collecter, organiser, représenter et interpréter des données;;Transformer ce bloc du referentiel en fiches, activites et evaluations.;;;;P1, mathematiques, 4.1;34;primaire/MST/P1/champ_4_donnees_statistique/4_1_collecter_organiser_representer_et_interpreter_des_donnees/fiche_bloc_4_1_collecter_organiser_representer_et_interpreter_des_donnees_P1_GTOLI.md
